id,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
50,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Suraj Holidays,VE A/C Sleeper (2+1),2024-09-12 22:00:00,07h 00m,2024-09-13 05:00:00,3.6,1050.0,18
51,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,DA Transports,A/C Sleeper (2+1),2024-09-12 22:00:00,06h 40m,2024-09-13 04:40:00,3.8,949.0,31
52,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,A1 Travels,Bharat Benz A/C Sleeper (2+1),2024-09-12 04:00:00,04h 15m,2024-09-12 08:15:00,2.1,1400.0,30
53,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),2024-09-12 04:55:00,04h 20m,2024-09-12 09:15:00,2.7,1200.0,15
54,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),2024-09-12 13:45:00,05h 45m,2024-09-12 19:30:00,2.7,1600.0,28
55,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,DLT BUS,A/C Sleeper (2+1),2024-09-12 22:30:00,07h 00m,2024-09-13 05:30:00,4.1,2599.0,14
60,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),2024-09-12 23:00:00,08h 30m,2024-09-13 07:30:00,3.9,2399.0,22
61,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),2024-09-12 22:00:00,07h 25m,2024-09-13 05:25:00,3.9,1899.0,1
63,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,A1 Travels,Non A/C Seater / Sleeper (2+1),2024-09-12 21:00:00,08h 00m,2024-09-13 05:00:00,3.7,1500.0,16
64,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,DA Transports,A/C Sleeper (2+1),2024-09-12 21:45:00,06h 30m,2024-09-13 04:15:00,3.5,1999.0,24
65,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,SURAJ TRAVEL HOUSE,VE A/C Seater / Sleeper (2+1),2024-09-12 21:00:00,08h 15m,2024-09-13 05:15:00,3.9,2099.0,3
67,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),2024-09-12 21:00:00,07h 45m,2024-09-13 04:45:00,2.6,2199.0,2
68,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),2024-09-12 02:30:00,05h 15m,2024-09-12 07:45:00,1.1,1300.0,17
69,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,FAST LINE BUS,A/C Sleeper (2+1),2024-09-12 21:15:00,06h 45m,2024-09-13 04:00:00,0.0,2199.0,4
70,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),2024-09-12 03:00:00,05h 40m,2024-09-12 08:40:00,1.9,2500.0,16
72,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,MMK Travels,A/C Seater / Sleeper (2+1),2024-09-12 22:30:00,07h 15m,2024-09-13 05:45:00,3.7,2399.0,21
73,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,SURAJ TRAVEL HOUSE,VE A/C Semi Sleeper (2+2),2024-09-12 21:00:00,08h 15m,2024-09-13 05:15:00,3.9,1699.0,36
74,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,P K Travels,A/C Seater / Sleeper (2+1),2024-09-12 21:30:00,06h 30m,2024-09-13 04:00:00,3.8,1500.0,1
75,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,DA Transports,A/C Seater Push Back (2+2),2024-09-12 21:45:00,06h 30m,2024-09-13 04:15:00,3.8,1649.0,33
76,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Kerala lines,Scania Multi-Axle AC Semi Sleeper (2+2),2024-09-12 22:00:00,06h 50m,2024-09-13 04:50:00,3.8,1899.0,35
77,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Kerala lines,Volvo Multi-Axle A/C Sleeper (2+1),2024-09-12 23:00:00,06h 50m,2024-09-13 05:50:00,3.8,2450.0,28
78,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),2024-09-12 20:00:00,08h 30m,2024-09-13 04:30:00,3.7,2099.0,5
79,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,A1 Travels,A/C Semi Sleeper (2+2),2024-09-12 21:30:00,08h 00m,2024-09-13 05:30:00,3.7,1950.0,25
80,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,A1 Travels,A/C Seater / Sleeper (2+1),2024-09-12 22:30:00,06h 30m,2024-09-13 05:00:00,3.7,2000.0,20
81,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,CHANCHALAS TOURS AND TRAVELS,A/C Semi Sleeper (2+2),2024-09-12 15:00:00,06h 40m,2024-09-12 21:40:00,3.7,1899.0,29
82,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Kyros Connect,A/C Semi Sleeper (2+2),2024-09-12 07:00:00,06h 05m,2024-09-12 13:05:00,4.1,1499.0,20
83,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,CHANCHALAS TOURS AND TRAVELS,A/C Semi Sleeper (2+2),2024-09-12 15:00:00,06h 45m,2024-09-12 21:45:00,3.6,1804.0,29
84,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),2024-09-12 21:00:00,07h 20m,2024-09-13 04:20:00,3.3,2199.0,2
85,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Kyros Connect,A/C Semi Sleeper (2+2),2024-09-12 07:00:00,06h 00m,2024-09-12 13:00:00,3.5,1499.0,20
86,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Sam Tourist,Volvo A/C Seater (2+2),2024-09-12 22:30:00,07h 00m,2024-09-13 05:30:00,3.1,1799.0,34
87,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),2024-09-12 03:00:00,05h 41m,2024-09-12 08:41:00,3.1,2500.0,16
88,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Bharathi Travels,A/C Sleeper (2+1),2024-09-12 02:30:00,07h 00m,2024-09-12 09:30:00,3.1,1713.0,19
89,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Ravina Travels (Regd),A/C Sleeper (2+1),2024-09-12 22:30:00,06h 15m,2024-09-13 04:45:00,2.9,2599.0,24
90,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Kyros Connect,A/C Semi Sleeper (2+2),2024-09-12 23:15:00,08h 20m,2024-09-13 07:35:00,3.7,1799.0,29
93,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Sam Tourist,Volvo A/C Seater (2+2),2024-09-12 22:30:00,07h 15m,2024-09-13 05:45:00,2.4,1799.0,34
94,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Vijay Lines,A/C Seater / Sleeper (2+1),2024-09-12 22:20:00,06h 25m,2024-09-13 04:45:00,2.4,1329.0,2
95,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Kyros Connect,A/C Semi Sleeper (2+2),2024-09-12 23:15:00,08h 30m,2024-09-13 07:45:00,4.0,1799.0,27
96,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,DA Transports,A/C Sleeper (2+1),2024-09-12 21:45:00,06h 30m,2024-09-13 04:15:00,3.8,1999.0,31
97,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,DA Transports,NON A/C Sleeper (2+1),2024-09-12 22:00:00,06h 30m,2024-09-13 04:30:00,3.8,1999.0,15
98,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,A1 Travels,A/C Semi Sleeper (2+2),2024-09-12 22:30:00,08h 00m,2024-09-13 06:30:00,3.7,1750.0,34
